gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000204257,HLA-DMA,-9.454915977128113,-1.8710349489273719,3.232815035350129e-21,0.05079568866166153,0.300491469594316,4.80709992427096e-06,0.0001531564394477027,16,25,25
ENSG00000051825,MPHOSPH9,7.198826112137538,5.744351652541163,6.073314291068924e-13,0.012083573167370205,0.250873989000347,3.93662741670386e-05,0.0007387917206690805,37,48,48
ENSG00000242574,HLA-DMB,-6.413412969012189,-2.090326935857513,1.422973650333525e-10,0.04288733554475962,0.185635296626851,0.000527743004298293,0.003887139332734738,55,97,97
ENSG00000204356,NELFE,5.4043072750413215,18.193039564473455,6.505933255613342e-08,0.0015957739974475208,0.161891477385314,0.0013065665999659,0.006605152184329458,3,17,17
ENSG00000158445,KCNB1,-5.403342286359659,-3.8879774321618426,6.541046923343776e-08,0.03233388210412163,0.146168222176504,0.00236060511415635,0.008678971220667277,21,23,23
ENSG00000066379,ZNRD1,-4.843134729807118,-2.9371727867109447,1.2780656262067444e-06,0.02357947642160086,0.0670434184778027,0.0439091761751055,0.04659610484887261,31,39,39
ENSG00000160691,SHC1,-4.693493848941975,-3.848746119187567,2.6857806990269705e-06,0.07184147480970629,0.0837236272559194,0.0237118845909436,0.0326519954570244,32,46,46
ENSG00000122970,IFT81,-4.437986388253474,-2.504433791935748,9.080436001575609e-06,0.046309584667603584,0.0651138220542713,0.0471741463052869,0.04805098917341491,17,22,22
ENSG00000110931,CAMKK2,-4.378327252180719,-1.4582296803450638,1.195936805189954e-05,0.40409993079247997,0.586031892388197,6.70409652722052e-13,3.061537414097371e-10,90,112,112
ENSG00000197958,RPL12,-4.161327050382502,-7.804269185277446,3.164035734927124e-05,0.011153409396747561,0.106020189142693,0.0104473541585766,0.020106328949097377,36,47,47
ENSG00000168300,PCMTD1,-3.8882703290395657,-2.232179643363089,0.0001009611432383597,0.03585415204575088,0.147027772637965,0.00228585696730324,0.008542624152437357,71,82,82
ENSG00000120333,MRPS14,-3.8817714699035637,-3.145151686073228,0.00010369830540198412,0.027957136149871716,0.167511681429108,0.00105586193297103,0.005763071108248251,15,20,20
ENSG00000186976,EFCAB6,3.6601189235134637,1.0362506744207993,0.000252098218682819,0.1169398732787965,0.0816330631084532,0.0256087761257713,0.03366988799645555,43,55,55
ENSG00000164574,GALNT10,-3.5380123743258745,-2.2705952180496967,0.000403151164367457,0.04364660228563028,0.175427338638895,0.000780926144741203,0.00484103537690248,8,12,12
ENSG00000086061,DNAJA1,3.5043569536270067,1.8169580976535225,0.0004577113937949148,0.12176623963025385,0.502598990418638,1.62225826027743e-10,2.4694375739778657e-08,42,51,51
ENSG00000161904,LEMD2,-3.4426109487663292,-1.3456359752415774,0.0005761274853723969,0.22678176284331134,0.0932031920816647,0.0167339423910622,0.026503469451740133,84,115,115
ENSG00000137770,CTDSPL2,3.43644685576889,6.674228975705379,0.0005893979723100466,0.015024799589740854,0.0713424323632689,0.0374401701638737,0.04209850559025448,6,9,9
ENSG00000175879,HOXD8,-3.429359395368963,-3.9007745964052343,0.0006050078148259811,0.01741172844531423,0.0704604136096937,0.0386830478753931,0.04298116430599234,36,38,38
ENSG00000153291,SLC25A27,-3.419915731208701,-2.877176094975281,0.0006264053690851659,0.06517900337270224,0.495339337512427,2.50451661485549e-10,3.4311877623520216e-08,19,24,24
ENSG00000164080,RAD54L2,3.3357758070309083,1.7774268687310417,0.0008506173081425291,0.08916401675427324,0.232108573994569,8.455022148663e-05,0.0013314230280078519,23,28,28
ENSG00000166435,XRRA1,-3.3278258900725732,-3.9002168098166936,0.0008752655004039012,0.036061374780054195,0.1043869530771,0.0110941030367719,0.02070697705773502,29,34,34
ENSG00000102898,NUTF2,3.2933003068333,1.5535421670178398,0.0009901865195621412,0.09016577613095271,0.0885829768515706,0.0198310309763422,0.02930799615705374,67,83,83
ENSG00000196126,HLA-DRB1,3.287731362994381,9.209150769523232,0.0010099816271484465,0.008720746704726496,0.245184990664275,4.97155767622429e-05,0.0008845498722632829,19,49,49
ENSG00000163131,CTSS,3.229373954147916,2.567689087309037,0.0012406155562715493,0.00873810632216482,0.144307093255866,0.00253078568053686,0.008961762583481522,16,24,24
ENSG00000198502,HLA-DRB5,3.147508387349664,60.70528800648636,0.001646683817091139,6.22936687333294e-05,0.544982311960704,1.12864401167204e-11,3.0924845919813896e-09,16,171,171
ENSG00000213654,GPSM3,3.1207584280332,6.9148675442655945,0.0018038594401047548,0.004725315079156607,0.088057991479095,0.0202175064792865,0.0296235121675107,5,26,26
ENSG00000143384,MCL1,2.9991136285857287,4.6350945275432505,0.0027076630446858335,0.03791051260719561,0.119348492318061,0.00639353071663478,0.015475507211642488,31,37,37
ENSG00000184500,PROS1,-2.9729785023306206,-2.1475559464411402,0.0029492510705185705,0.2304514660507942,0.128460334656532,0.00456426615601084,0.012687279174002166,43,69,69
ENSG00000128791,TWSG1,-2.9373516206429144,-1.0313609437185942,0.0033102853902642173,0.1408063830416367,0.0764605315431637,0.0309880343538025,0.03780374627311614,117,142,142
ENSG00000110074,FOXRED1,-2.9274397883062173,-1.4264899452445727,0.0034176522942022543,0.11860775152108857,0.154536567234125,0.00172441576931061,0.007588710160348523,66,79,79
ENSG00000110075,PPP6R3,-2.9184449342279364,-0.5511066120774648,0.003517820013866316,0.04465547705415726,0.274757164416551,1.45317016675329e-05,0.0003374310387206792,80,122,122
ENSG00000196655,TRAPPC4,-2.9040811146072047,-2.3820597289991023,0.003683327182426996,0.11103853043599597,0.238679836159118,6.48078581464412e-05,0.0010697200682002945,47,51,51
ENSG00000146707,POMZP3,-2.88531276008745,-13.373665884578285,0.00391024983690395,0.00391882137338996,0.109265093935578,0.00927159559620788,0.018762313097200584,3,14,14
ENSG00000101473,ACOT8,-2.856707229743502,-3.320531464217604,0.004280604729237341,0.049832157146277395,0.141573407297632,0.00280284544538609,0.009599745650447357,42,52,52
ENSG00000164086,DUSP7,2.847944886811394,0.9786829815229424,0.004400254405669433,0.02902133119726312,0.0693412257302308,0.0403209038145717,0.044025353271362554,53,73,73
ENSG00000204344,STK19,2.8158433322761707,2.455863657467878,0.0048649384186135475,0.0650772812380569,0.244073269807626,5.20267828634962e-05,0.000913803750294741,26,96,96
ENSG00000141013,GAS8,-2.8058288553010953,-6.074271161012077,0.005018734062461541,0.028704279306039318,0.0744679766272171,0.0333537684278676,0.03949936064841185,14,33,33
ENSG00000114988,LMAN2L,2.8004153078347978,3.0180006947079763,0.005103689784179707,0.02825066461700449,0.126715438169886,0.00486905729568825,0.013116850173838368,37,49,49
ENSG00000135709,KIAA0513,2.7451377323352406,5.391649259405269,0.006048550645573526,0.011351147288689002,0.124788317700252,0.00522907698458386,0.013671441734503601,9,10,10
