gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000204257,HLA-DMA,-7.818025121850551,-2.927960756250567,5.365848406046684e-15,0.009982947832264565,0.338607934242882,3.93008961378014e-06,0.00038554179111183174,21,36,36
ENSG00000204560,DHX16,-7.530189627456669,-5.73460305886518,5.066668735694378e-14,0.014526775067927567,0.0722511801466769,0.0493731665739504,0.04956012037076885,14,33,33
ENSG00000186470,BTN3A2,-6.79957351393512,-5.107100393567964,1.0492931130156299e-11,0.0485136681548012,0.0985198262513378,0.0208159395878029,0.03089324770897828,104,144,144
ENSG00000164091,WDR82,4.619053856210301,1.7868492272629626,3.8549379973755505e-06,0.05901146277175203,0.0746241586057833,0.0456479880984536,0.04718722478881242,18,21,21
ENSG00000062485,CS,-4.48515282542049,-2.3267495133059946,7.286169245138225e-06,0.009778841662706528,0.146730957012742,0.00425074422267433,0.013627385890338295,7,11,11
ENSG00000250120,PCDHA10,-4.451775901278173,-6.417844347548931,8.516301900075725e-06,0.009573904094923463,0.08518654095609,0.032236900747183,0.03870795548713161,21,32,32
ENSG00000168477,TNXB,4.1340771686996485,9.655679210865054,3.563837228904854e-05,0.007818144196193703,0.0736148586754998,0.0471959966643342,0.04822840909136652,15,35,35
ENSG00000183172,SMDT1,-3.993011231662029,-0.5650743695701963,6.523947697677445e-05,0.03762423354427586,0.111106300104984,0.0137776627786939,0.02469865451991966,4,4,4
ENSG00000144445,KANSL1L,-3.787283186487666,-4.184004494887419,0.00015230348366646713,0.03434529232178417,0.160569210913932,0.00267654282514929,0.010672736887651049,41,49,49
ENSG00000103657,HERC1,-3.5453549845225245,-2.4527915657747417,0.0003920846634794716,0.05473877631768837,0.084914313468469,0.0325265338093141,0.038880172871135314,47,56,56
ENSG00000115163,CENPA,-3.476964422091534,-6.436916360716957,0.0005071251059450752,0.016950652283831094,0.0876803330800701,0.0297019122630942,0.03734509047955614,8,15,15
ENSG00000103066,PLA2G15,-3.4473712448132403,-3.4553427346489114,0.0005660701503605194,0.05663114465454053,0.105176311258418,0.0167354629490417,0.02740816219200318,47,67,67
ENSG00000162971,TYW5,-3.3353586783222933,-1.16037696708784,0.0008518944174027721,0.26908180561503414,0.181378784745116,0.00132379843098174,0.007420835775960497,72,88,88
ENSG00000149294,NCAM1,3.2290586669800776,1.7964908531015236,0.001241984136076804,0.09050704536091472,0.114500397297259,0.0123251907297265,0.022986715030155317,71,89,89
ENSG00000110696,C11orf58,-3.1452717429892085,-1.774811846047333,0.0016593262298030128,0.4137102570226429,0.144276718162566,0.00461229705363472,0.014132002378949812,153,182,182
ENSG00000100722,ZC3H14,-3.1349781047359264,-1.2673612352442498,0.0017186693879348094,0.21434456293190124,0.0976632881534694,0.0214086337788659,0.031380838416638024,80,101,101
ENSG00000134046,MBD2,-3.1127010039953134,-2.4080382670690765,0.0018538372619584247,0.12294183273640574,0.200753830614261,0.000680019661654466,0.0056058763704456395,74,107,107
ENSG00000120738,EGR1,3.040650145460497,2.1339161369549524,0.00236067956772731,0.09794707180038739,0.072729959322828,0.0485973093935041,0.04922263787416099,20,36,36
ENSG00000124789,NUP153,3.006554381373374,3.6043664566328664,0.0026422678739011418,0.04943248286008048,0.162910213300613,0.00247405657287604,0.010504350017435087,51,70,70
ENSG00000143079,CTTNBP2NL,-2.998570605177256,-1.017793266661373,0.0027124929852068618,0.11216029368909389,0.133251612685216,0.00664672827797083,0.016390955918406842,69,82,82
ENSG00000204444,APOM,2.9712637728547273,1.832969496101186,0.0029657693594301498,0.0576048363411378,0.0877898418320133,0.029595323698223,0.03734509047955614,22,41,41
ENSG00000168758,SEMA4C,2.9646531608358972,4.094512648014006,0.0030302435923109826,0.03831386375294048,0.129768356623857,0.0074570974332351,0.017341571057162008,24,42,42
ENSG00000164967,RPP25L,-2.940246433968946,-128.27974714217044,0.0032795130156702164,2.5188005842590026e-05,0.203886818216728,0.000609926728397805,0.0052029401787673625,2,5,5
ENSG00000132466,ANKRD17,-2.8438853021964405,-2.9810176122220606,0.0044567087979232554,0.034723157360556506,0.0942095520326664,0.0239750902746534,0.03366603862648105,14,21,21
ENSG00000139641,ESYT1,-2.7876869560616395,-1.8750408512919727,0.005308581359514058,0.20283538602515613,0.163283553734186,0.00244318289067249,0.010504350017435087,97,112,112
ENSG00000163536,SERPINI1,2.684391093971363,2.8233271947035385,0.0072662052055103175,0.03540315112798176,0.0803479200142372,0.0377971382831241,0.04252178056851461,20,22,22
ENSG00000166197,NOLC1,-2.679824621907895,-1.3050514423571031,0.007366074168480201,0.29976855597870844,0.170974819112309,0.00188486324746645,0.009120778005233775,74,119,119
ENSG00000088298,EDEM2,2.671058967989408,2.2420297585261317,0.007561236242722985,0.07569353837131382,0.163306213403966,0.00244132122441547,0.010504350017435087,21,33,33
ENSG00000114654,EFCC1,2.665739844160967,3.8208086075066614,0.00768191137071579,0.04507171484773466,0.119747910210931,0.0103732067677425,0.021143058656272144,83,110,110
ENSG00000104805,NUCB1,-2.614872696468063,-4.07764440377919,0.00892607176965708,0.019737603622054845,0.199923399006594,0.000699876607960684,0.00567420621825976,22,30,30
