gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000204257,HLA-DMA,-9.807441874983954,-1.5886999941587483,1.0458625221785562e-22,0.08001085939718171,0.430387061601318,1.27093401174757e-08,3.4918911972764484e-06,20,27.0,27
ENSG00000233822,HIST1H2BN,-6.163763637032203,-6.207925454743335,7.103595315063149e-10,0.011422796929596316,0.0950835725550785,0.0165298921455941,0.02775109483460453,11,13.0,13
ENSG00000239900,ADSL,5.7401249338266895,5.197687392872143,9.460673041599051e-09,0.002486513127095303,0.0658203119957723,0.0478480948303663,0.04884644722849144,6,11.0,11
ENSG00000196126,HLA-DRB1,5.463385186646345,6.781283644141625,4.6713944609067305e-08,0.024496692576316693,0.211921604252421,0.000214803386154228,0.0027479476756301245,28,54.0,54
ENSG00000204564,C6orf136,-4.098830712026616,-2.799205521961298,4.152426011294393e-05,0.04437424047427079,0.127372486201972,0.0051237283967035,0.014857460443211469,39,57.0,57
ENSG00000204209,DAXX,4.038303232450272,1.8620799422705074,5.383922775136046e-05,0.06155569398321756,0.109674155478616,0.00974754053792689,0.021283338432770374,40,70.0,70
ENSG00000204592,HLA-E,3.9713407211545766,4.451815790958246,7.146927707520825e-05,0.04378387910048234,0.0986264505678155,0.0145412435955702,0.026458322370085514,56,93.0,93
ENSG00000016391,CHDH,-3.737807915313148,-1.382392185506601,0.00018563167873143923,0.1356916672486219,0.0943812779034251,0.0169552839715399,0.02810536513532783,38,45.0,45
ENSG00000120733,KDM3B,-3.6228526729775847,-3.207179292223083,0.0002913717946985247,0.02758658496851209,0.097407668328708,0.015196809156123,0.026850953798358806,12,17.0,17
ENSG00000149292,TTC12,3.609575167680688,2.375721696712768,0.00030669889233326343,0.13112291916282545,0.158735084547385,0.00161688804418816,0.008077090729830854,76,80.0,80
ENSG00000164037,SLC9B1,3.4351920484224836,0.4300656813808827,0.0005921340325949146,0.0820929978262722,0.0722529357831139,0.0378294198790633,0.04264054609958006,25,38.0,38
ENSG00000244752,CRYBB2,-3.410891505392412,-2.284807816429951,0.0006475085101436223,0.07148193607301209,0.456005503320168,3.25727206308482e-09,1.1932473324434057e-06,62,77.0,77
ENSG00000154814,OXNAD1,-3.357087400715613,-3.8426555770539035,0.000787682090529938,0.04847447515442235,0.0891273560566459,0.0205057560414892,0.03147450971530525,37,49.0,49
ENSG00000232112,TMA7,3.3192890083440387,1.9364780811358737,0.0009024697494669386,0.08563418021085019,0.171283220912732,0.00101237504423631,0.006468605660556423,18,32.0,32
ENSG00000151503,NCAPD3,3.3169154063757085,1.2064960812368095,0.000910171701181316,0.3415483493939223,0.0963211033504347,0.0158061177460786,0.027269895452025718,75,92.0,92
ENSG00000120899,PTK2B,-3.30720569543817,-3.1039197123385045,0.000942316705615912,0.029563252665776397,0.0767806236193011,0.0320836385238361,0.038976857233367176,10,15.0,15
ENSG00000067066,SP100,-3.285584100845467,-1.775096621286006,0.0010177115578493762,0.03489096398023937,0.0817016315972771,0.0268352295300326,0.035921945497571044,29,41.0,41
ENSG00000109158,GABRA4,-3.233873265794456,-2.5884916151644344,0.0012212363484195284,0.04736535845860755,0.0768848456231154,0.0319623583400308,0.038963811028888275,20,24.0,24
ENSG00000180929,GPR62,-3.0156505197485126,-8.450937492426368,0.002564286287952173,0.0068375355648312664,0.0822278392075448,0.0263280462658045,0.03567758673997429,8,14.0,14
ENSG00000166821,PEX11A,-3.010795365239863,-1.3522496617609816,0.002605643901839109,0.058883955273223196,0.0780412565337086,0.0306474465505749,0.03836166715157382,24,29.0,29
ENSG00000205111,CDKL4,-2.993374389435248,-0.9143718627410327,0.002759110574184324,0.0488596737344867,0.208412386145414,0.000246134760656947,0.002812577011704344,64,79.0,79
ENSG00000184428,TOP1MT,2.9360875642353945,3.495462382222961,0.003323804840037739,0.017281505336628707,0.116191895743078,0.00769535571891581,0.01893597669304724,5,9.0,9
ENSG00000013810,TACC3,-2.9235462343168646,-2.1721915132376926,0.0034606882687610177,0.18737099743398744,0.113304896790093,0.00854529788954946,0.019896784704692493,54,100.0,100
ENSG00000197958,RPL12,-2.9220708213463715,-3.772334102292702,0.003477124657392859,0.02052836635288058,0.0845059134469044,0.0242415017464608,0.03468474360096042,10,13.0,13
ENSG00000128944,KNSTRN,-2.91468823655506,-4.067332518039078,0.0035604402134618166,0.023865058888892555,0.0676795658312471,0.0447010484398119,0.04700935089198935,41,46.0,46
ENSG00000185798,WDR53,-2.9020895701311944,-5.76208650174214,0.003706825371504433,0.009683792154836647,0.0991536740736528,0.0142664825859878,0.026254013787336463,3,5.0,5
ENSG00000100372,SLC25A17,2.8679688589858987,0.6630375722336229,0.004131161930713511,0.06742265375892693,0.0810690125396338,0.0274580546159762,0.03626971396990125,57,75.0,75
ENSG00000146707,POMZP3,-2.8514463471771974,-4.955854314591798,0.004352083022333993,0.015538902915597924,0.0864143986011587,0.0226222186947667,0.033461397504103096,9,12.0,12
ENSG00000117593,DARS2,2.8116231896572494,6.540848240485295,0.004929221119066582,0.019257224901702872,0.0968990948331728,0.0154790205126866,0.02708828589720155,50,71.0,71
ENSG00000112333,NR2E1,-2.7802884585237497,-6.6581579320456745,0.005431063164665637,0.002696875921545924,0.0831126131186089,0.0254969656297519,0.035335643413741916,17,21.0,21
ENSG00000131188,PRR7,-2.7727703658263665,-3.4699799612474584,0.005558132694222719,0.03340464128214468,0.0716611422209809,0.0386541297609372,0.043040413989128654,21,33.0,33
ENSG00000127329,PTPRB,-2.7683399000112083,-4.53573236602683,0.005634266031647426,0.0092449130964911,0.0904896779483138,0.0195191678165261,0.030601377218776298,2,2.0,2
ENSG00000227507,LTB,-2.729878335635374,-5.887741021373171,0.006335770309243491,0.014731367477409288,0.0933173039743167,0.0176207213677509,0.028903242959937674,14,36.0,36
ENSG00000148339,SLC25A25,2.7076253855586825,5.211359322864428,0.0067766467011639644,0.027132166811299815,0.138311931400401,0.00343476908225341,0.012376430234086877,38,45.0,45
ENSG00000166750,SLFN5,-2.652643002615508,-2.650407405734375,0.007986428975715842,0.0618368827785746,0.096366756101753,0.0157800324486876,0.027267697580357974,19,20.0,20
ENSG00000187595,ZNF385C,2.6141776597352053,5.503664574454942,0.008944251413692634,0.025091092685151275,0.107631688132591,0.0104962213929003,0.02226901025250469,13,20.0,20
ENSG00000147872,PLIN2,2.6137213286889187,1.9260727416189518,0.008956205357428079,0.12085403733807447,0.128934328736173,0.00483999959180699,0.01449483663816898,41,50.0,50
ENSG00000183775,KCTD16,-2.5921967449424828,-1.8471618919681612,0.009536521628813823,0.10842754154687118,0.141395949946099,0.00306725326074777,0.011664053057307264,75,99.0,99
