gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000051825,MPHOSPH9,8.864657295115789,5.1255771381974595,7.673974161830398e-19,0.017133109784689987,0.271484955231418,1.97027149889544e-05,0.0003767478609374389,36,47,47
ENSG00000242574,HLA-DMB,-8.443007008050337,-1.4201445524302339,3.092765523301247e-17,0.07379576073472988,0.333981464053018,1.33097164365223e-06,4.8290381429946296e-05,53,82,82
ENSG00000204525,HLA-C,5.900253298647994,2.6695565126546144,3.6294393380810115e-09,0.08923963811818121,0.534832762765761,3.22715752599885e-11,7.610713165480622e-09,32,60,60
ENSG00000168268,NT5DC2,5.073337441904036,3.7393927654073122,3.908984162652452e-07,0.024774280698832026,0.0661294617900057,0.047309485460256,0.048579769177258515,14,16,16
ENSG00000204392,LSM2,-4.15523113138304,-2.750986791852562,3.2495887607366594e-05,0.00899151224425654,0.0770448964761244,0.0317770158461796,0.03843117728405481,10,14,14
ENSG00000181035,SLC25A42,3.936964982230262,2.1581900330488124,8.251864300655893e-05,0.02966715005937388,0.0870998775881567,0.0220675657646177,0.03117178896023822,17,23,23
ENSG00000137331,IER3,3.9128938428454165,4.917661131246282,9.119663188921252e-05,0.026766939958338266,0.133448452806869,0.00410426000218719,0.011508246329187961,12,19,19
ENSG00000197958,RPL12,-3.7540936773756184,-3.091238260773355,0.0001739697977362163,0.039787712393917665,0.248198644442161,5.10749398864054e-05,0.0007314938138133291,24,32,32
ENSG00000163743,RCHY1,-3.6167769003919585,-4.549428668849246,0.00029829419208687283,0.024574403480955083,0.106173424457737,0.0110654833843987,0.02110718243593097,15,16,16
ENSG00000243646,IL10RB,-3.561895168105036,-1.9793712006608843,0.00036818740678922033,0.16516354577836684,0.197365102207286,0.000376738195195675,0.0026198690300137354,51,60,60
ENSG00000204267,TAP2,3.5145832997411497,1.965052759158422,0.0004404445124544571,0.05121596427127997,0.0732514697836763,0.0364782791737994,0.041405936655100214,14,31,31
ENSG00000166086,JAM3,-3.4743213532674777,-6.096086401770414,0.0005121472707939997,0.00790541427632324,0.0698410881216231,0.0413072332989452,0.04478906905594442,5,10,10
ENSG00000138111,MFSD13A,-3.320611450265772,0.009050711939428137,0.0008982048873034044,0.09510038075807892,0.109088722560678,0.00995653480444562,0.01965407978237635,63,80,80
ENSG00000169612,RAMAC,-3.299874959061597,-3.2989508106548864,0.0009672791569300125,0.028748228190180403,0.187261626320332,0.000553964146802989,0.003307423070574808,6,7,7
ENSG00000244752,CRYBB2,-3.2913626829105027,-2.1529194745585967,0.0009970327936111671,0.04957652144479427,0.317452968126848,2.7730407508759e-06,8.719672583309774e-05,28,37,37
