genename	celltype1	celltype2	celltype3
ABCF2	FPP_11	NB	PFPP11
ADA2	FPP_11	NB	PFPP11
ARPC3	FPP_11	NB	PFPP11
C9orf135	FPP_11	NB	PFPP11
CCZ1B	FPP_11	NB	PFPP11
CRB2	FPP_11	NB	PFPP11
EIF5A	FPP_11	NB	PFPP11
EXOC3	FPP_11	NB	PFPP11
FAM184B	FPP_11	NB	PFPP11
GATC	FPP_11	NB	PFPP11
GPR171	FPP_11	NB	PFPP11
GSKIP	FPP_11	NB	PFPP11
HLA-DRB1	FPP_11	NB	PFPP11
HNRNPL	FPP_11	NB	PFPP11
IFI27	FPP_11	NB	PFPP11
LRRC34	FPP_11	NB	PFPP11
MAPK10	FPP_11	NB	PFPP11
NBPF3	FPP_11	NB	PFPP11
NEK3	FPP_11	NB	PFPP11
NMI	FPP_11	NB	PFPP11
NSA2	FPP_11	NB	PFPP11
NUDT14	FPP_11	NB	PFPP11
P4HA3	FPP_11	NB	PFPP11
PARK7	FPP_11	NB	PFPP11
PHYH	FPP_11	NB	PFPP11
POLR1D	FPP_11	NB	PFPP11
PPIL3	FPP_11	NB	PFPP11
PPP1R14A	FPP_11	NB	PFPP11
RPL28	FPP_11	NB	PFPP11
RPS10	FPP_11	NB	PFPP11
RPS2	FPP_11	NB	PFPP11
RPS26	FPP_11	NB	PFPP11
SLC25A1	FPP_11	NB	PFPP11
SLC35G1	FPP_11	NB	PFPP11
STAP2	FPP_11	NB	PFPP11
SURF1	FPP_11	NB	PFPP11
TIMM10	FPP_11	NB	PFPP11
TMEM80	FPP_11	NB	PFPP11
TMEM9	FPP_11	NB	PFPP11
TOMM7	FPP_11	NB	PFPP11
TXN	FPP_11	NB	PFPP11
TYW3	FPP_11	NB	PFPP11
WDR18	FPP_11	NB	PFPP11
YWHAZ	FPP_11	NB	PFPP11
ZNF525	FPP_11	NB	PFPP11
ZP3	FPP_11	NB	PFPP11
ACAD8	NB	PFPP11	
ADSSL1	NB	PFPP11	
AIMP2	NB	PFPP11	
API5	NB	PFPP11	
ARF4	NB	PFPP11	
ARPC4	NB	PFPP11	
ARPC5	NB	PFPP11	
ATAD3A	NB	PFPP11	
BOLA1	NB	PFPP11	
CALN1	NB	PFPP11	
CCK	NB	PFPP11	
CDH2	NB	PFPP11	
CENPN	NB	PFPP11	
CRYBB2	NB	PFPP11	
CTIF	NB	PFPP11	
DSG2	NB	PFPP11	
EEF2	NB	PFPP11	
ERCC5	NB	PFPP11	
EXTL1	NB	PFPP11	
FAM89B	NB	PFPP11	
FASN	NB	PFPP11	
GEMIN4	NB	PFPP11	
GET1	NB	PFPP11	
GNPAT	NB	PFPP11	
GPATCH1	NB	PFPP11	
GPR160	NB	PFPP11	
GSTT1	NB	PFPP11	
HLA-DMA	NB	PFPP11	
HSDL2	NB	PFPP11	
ITGA9	NB	PFPP11	
ITGB1BP1	NB	PFPP11	
ITPA	NB	PFPP11	
JAK2	NB	PFPP11	
KDELR2	NB	PFPP11	
LAMTOR5	NB	PFPP11	
LRP5	NB	PFPP11	
LYL1	NB	PFPP11	
MAP3K11	NB	PFPP11	
MICALL2	NB	PFPP11	
MPZL1	NB	PFPP11	
MRPS7	NB	PFPP11	
MTHFS	NB	PFPP11	
MTMR3	NB	PFPP11	
MYO1C	NB	PFPP11	
NAGS	NB	PFPP11	
NARS2	NB	PFPP11	
NME3	NB	PFPP11	
OXR1	NB	PFPP11	
PARP14	NB	PFPP11	
PCED1A	NB	PFPP11	
PDPN	NB	PFPP11	
PLEKHH3	NB	PFPP11	
PROSER2	NB	PFPP11	
PTTG1IP	NB	PFPP11	
RAMP1	NB	PFPP11	
RARB	NB	PFPP11	
RIPPLY3	NB	PFPP11	
RNF220	NB	PFPP11	
RPL41	NB	PFPP11	
SCAND1	NB	PFPP11	
SELENOO	NB	PFPP11	
SMDT1	NB	PFPP11	
SPAG4	NB	PFPP11	
SPATC1L	NB	PFPP11	
SRP54	NB	PFPP11	
ST6GALNAC3	NB	PFPP11	
TIGD2	NB	PFPP11	
TMEM132A	NB	PFPP11	
TMEM179B	NB	PFPP11	
TMSB10	NB	PFPP11	
TOR1B	NB	PFPP11	
TYSND1	NB	PFPP11	
UBALD2	NB	PFPP11	
WDR24	NB	PFPP11	
YBEY	NB	PFPP11	
ZBTB14	NB	PFPP11	
ZCCHC2	NB	PFPP11	
ZNF611	NB	PFPP11	
ABHD12	FPP_11	PFPP11	
ABHD14A	FPP_11	PFPP11	
AC090186.1	FPP_11	PFPP11	
ACCS	FPP_11	PFPP11	
ACOT13	FPP_11	PFPP11	
ACP6	FPP_11	PFPP11	
ACSS3	FPP_11	PFPP11	
ACTB	FPP_11	PFPP11	
ACVR1B	FPP_11	PFPP11	
ADA	FPP_11	PFPP11	
ADAM15	FPP_11	PFPP11	
ADSS	FPP_11	PFPP11	
AFTPH	FPP_11	PFPP11	
AGT	FPP_11	PFPP11	
AHI1	FPP_11	PFPP11	
AIDA	FPP_11	PFPP11	
AIMP1	FPP_11	PFPP11	
AL049697.1	FPP_11	PFPP11	
ALDH18A1	FPP_11	PFPP11	
ANKRD10	FPP_11	PFPP11	
ANTXR1	FPP_11	PFPP11	
ANXA5	FPP_11	PFPP11	
